genes,tot.samples,perc.samples
ENSG00000237298,195279,0.330472204688032
ENSG00000201595,65060,0.110101555400239
ENSG00000150347,580976,0.983190305106201
ENSG00000168658,443998,0.751381346366361
ENSG00000130714,544248,0.921035218620803
ENSG00000122085,562493,0.951911377217135
ENSG00000113810,561310,0.949909376909135
ENSG00000184445,563270,0.953226300496354
ENSG00000157578,471222,0.797452738069652
ENSG00000164946,437527,0.74043042160468
ENSG00000112200,578109,0.978338458205917
ENSG00000108557,538729,0.911695371030057
ENSG00000201170,65060,0.110101555400239
ENSG00000204120,576961,0.97639568867626
ENSG00000197043,553396,0.936516451771762
ENSG00000186566,560199,0.948029222773727
ENSG00000064490,541657,0.916650448715454
ENSG00000065665,542313,0.9177606027324
ENSG00000165118,379248,0.641804406431447
ENSG00000114757,531424,0.899333061435856
ENSG00000153922,575030,0.973127842019668
ENSG00000125731,558298,0.944812145355715
ENSG00000266248,164,0.000277538504236693
ENSG00000142657,561513,0.950252915423525
ENSG00000219545,111767,0.189144182945259
ENSG00000259805,164,0.000277538504236693
ENSG00000065802,551154,0.932722297341892
ENSG00000240990,267396,0.452516377310212
ENSG00000152284,547135,0.92592091168014
ENSG00000167964,522698,0.88456598224092
ENSG00000136877,543938,0.920510603155477
ENSG00000167302,462489,0.782673812719048
ENSG00000125910,502660,0.850655515485464
ENSG00000149452,466422,0.789329659896871
ENSG00000225794,179435,0.303659277486043
ENSG00000149577,553389,0.936504605616093
ENSG00000068308,477791,0.808569509010694
ENSG00000155657,559524,0.946886914905679
ENSG00000166912,538577,0.911438140221252
ENSG00000075826,538030,0.910512447771146
ENSG00000180539,75085,0.127066942625683
ENSG00000123154,485318,0.821307510970386
ENSG00000101152,475063,0.80395289291583
ENSG00000281538,164,0.000277538504236693
ENSG00000121904,466982,0.790277352350362
ENSG00000121281,550927,0.932338143436637
ENSG00000146122,533087,0.902147369561134
ENSG00000149476,557020,0.942649375792212
ENSG00000133958,469350,0.794284737582267
ENSG00000228689,19000,0.0321538511005925
ENSG00000224043,28832,0.0487926228911728
ENSG00000259078,9853,0.0166743102575862
ENSG00000138193,571030,0.966358610209017
ENSG00000112531,572270,0.968457072070319
ENSG00000198890,467859,0.791761506424847
ENSG00000145335,539832,0.913561986701844
ENSG00000115165,515872,0.873014288156044
ENSG00000111799,446820,0.756157039408775
ENSG00000082458,536542,0.907994293537584
ENSG00000246922,280941,0.475438688529029
ENSG00000196365,546310,0.924524757619194
ENSG00000185052,499890,0.845967822456588
ENSG00000105323,570398,0.965289071582934
ENSG00000064270,524457,0.887542751929654
ENSG00000092377,463755,0.784816274587119
ENSG00000278007,164,0.000277538504236693
ENSG00000156453,520763,0.881291366352518
ENSG00000263317,164,0.000277538504236693
ENSG00000125207,501263,0.848291361275594
ENSG00000110713,561092,0.949540453775454
ENSG00000164741,554110,0.937724759649963
ENSG00000170458,518268,0.877069058010624
ENSG00000237989,187555,0.317400818061664
ENSG00000153914,579586,0.980837997052
ENSG00000250802,187942,0.318055741239345
ENSG00000079691,440271,0.745074114626787
ENSG00000144591,542485,0.918051679700258
ENSG00000012048,562100,0.951246300191739
ENSG00000143442,568976,0.962882609674248
ENSG00000078668,566700,0.959030916773987
ENSG00000241061,9853,0.0166743102575862
ENSG00000226380,187942,0.318055741239345
ENSG00000115282,531995,0.900299369276826
ENSG00000185074,46224,0.0782252428038835
ENSG00000105383,534680,0.904843216129726
ENSG00000124772,450554,0.762476117304018
ENSG00000147613,381956,0.646387176367258
ENSG00000269834,188060,0.318255433577759
ENSG00000142039,469648,0.794789045352161
ENSG00000137073,556092,0.941078914012141
ENSG00000125703,472102,0.798941969067995
ENSG00000231817,19000,0.0321538511005925
ENSG00000109790,487503,0.825005203846954
ENSG00000207287,65060,0.110101555400239
ENSG00000134242,540843,0.915272910041986
ENSG00000247950,179435,0.303659277486043
