,internal_accession,external_accession,is_brainarray
178,hugene10st,GPL24532,y
179,hugene11st,GPL11532,y
180,hugene11st,GPL16977,y
181,hugene11st,GPL22286,y
182,hugene11st,GPL18190,y
183,hugene11st,GPL15640,y
184,hugene11st,GPL17555,y
185,hugene11st,GPL20234,y
186,hugene11st,GPL11536,y
187,hugene11st,GPL24789,y
188,hugene11st,GPL20880,y
189,hugene20st,GPL16686,y
190,hugene20st,GPL17930,y
191,hugene20st,GPL21970,y
192,hugene20st,GPL20103,y
193,hugene20st,GPL19251,y
194,hugene20st,GPL17889,y
195,hugene20st,GPL19803,y
196,hugene20st,GPL23643,y
197,hugene20st,GPL21563,y
198,hugene20st,GPL18476,y
199,hugene21st,GPL17692,y
200,hugene21st,GPL18964,y
201,hugene21st,GPL19983,y
202,hugene21st,GPL22299,y
203,hugene21st,GPL22067,y
204,hugene21st,GPL19389,y
205,hugene21st,GPL19264,y
206,primeview_spikeins,GPL16043,y
207,primeview,GPL15207,y
208,primeview,GPL21975,y
209,primeview,GPL22841,y
210,primeview,GPL20609,y
211,primeview,GPL23342,y
212,primeview,GPL19660,y
213,u133aaofav2,GPL4685,y
214,Illumina_Human-6_v1.0,GPL2507,n
215,Illumina_Human-6_v1.0,GPL6097,n
216,Illumina_Human-6_V2.0,GPL6102,n
217,Illumina_Human-6_V2.0,GPL6106,n
218,Illumina_Human-6_V2.0,GPL10295,n
219,Illumina_Human-6_V2.0,GPL6790,n
220,Illumina_Human-6_V2.0,GPL6370,n
221,Illumina_Human-6_V2.0,GPL7363,n
222,Illumina_Human-6_V2.0,GPL7350,n
223,Illumina_Human-6_V2.0,GPL7180,n
224,Illumina_Human-6_V2.0,GPL5799,n
225,Illumina_HumanHT-12_V3.0,GPL6947,n
226,Illumina_HumanHT-12_V3.0,GPL15389,n
227,Illumina_HumanHT-12_V3.0,GPL18461,n
228,Illumina_HumanHT-12_V3.0,GPL16700,n
229,Illumina_HumanHT-12_V3.0,GPL19915,n
230,Illumina_HumanHT-12_V4.0,GPL10558,n
231,Illumina_HumanHT-12_V4.0,GPL10904,n
232,Illumina_HumanHT-12_V4.0,GPL15988,n
233,Illumina_HumanHT-12_V4.0,GPL22366,n
234,Illumina_HumanHT-12_V4.0,GPL23026,n
235,Illumina_HumanRef-8_v1.0,GPL6098,n
236,Illumina_HumanRef-8_v2.0,GPL6104,n
237,Illumina_HumanRef-8_v2.0,GPL6255,n
238,Illumina_HumanRef-8_v2.0,GPL5104,n
239,Illumina_HumanRef-8_v2.0,GPL14186,n
240,Illumina_HumanRef-8_v2.0,GPL5060,n
241,Illumina_HumanRef-8_v2.0,GPL6014,n
242,Illumina_HumanRef-8_v2.0,GPL11123,n
243,Illumina_HumanRef-8_v3.0,GPL6883,n
244,Illumina_HumanRef-8_v3.0,GPL18405,n
245,Illumina_HumanRef-8_v3.0,GPL16221,n
246,Illumina_HumanWG-6_V3.0,GPL6884,n
247,Illumina_HumanWG-6_V3.0,GPL11009,n
248,Illumina_HumanWG-6_V3.0,GPL18387,n
