Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000001452	-0.17566186243402315	679	other	0.05897680882480674
ENSDARG00000001463	1.065830119152611	957	other	0.08312342569269521
ENSDARG00000001470	-0.016778424246100588	978	other	0.08494745070789542
ENSDARG00000001498	0.10076722955140728	696	other	0.060453400503778336
ENSDARG00000001549	0.030420092094172305	1754	high zero count	0.152349517936246
ENSDARG00000001557	0.5016203870678556	165	other	0.01433162511943021
ENSDARG00000001558	0.719731832895199	456	other	0.039607400330061666
ENSDARG00000001559	-0.15418533514748747	783	other	0.06801007556675064
ENSDARG00000001572	0.03595591342179321	1797	high zero count	0.15608442630070354
ENSDARG00000001578	1.0632345499716085	294	other	0.025536350212802917
ENSDARG00000001621	0.614514718895826	198	other	0.01719795014331625
ENSDARG00000001634	0.6915690277702233	155	other	0.013463041778858681
ENSDARG00000001676	0.7421034104756046	495	other	0.04299487535829063
ENSDARG00000001710	0.4965376328996734	188	other	0.016329366802744723
ENSDARG00000001712	0.07503640331887856	698	other	0.06062711717189264
ENSDARG00000001721	0.06357478298219228	665	other	0.0577607921480066
ENSDARG00000001729	0.7626939795422298	20	other	0.0017371666811430556
ENSDARG00000001733	0.44178775259834463	349	other	0.03031355858594632
ENSDARG00000001734	0.511752581413086	816	other	0.07087640059063667
ENSDARG00000001754	0.6082012934594281	25	other	0.0021714583514288194
ENSDARG00000001760	0.5113959818670374	1444	high zero count	0.12542343437852863
ENSDARG00000001767	0.06521963386864993	172	other	0.01493963345783028
ENSDARG00000001769	0.25529894368613115	923	other	0.08017024233475202
ENSDARG00000001776	-0.21339286109176037	1099	high zero count	0.09545730912881091
ENSDARG00000001777	0.18438367563516708	540	other	0.0469035003908625
ENSDARG00000001781	-0.04677385402724879	432	other	0.03752280031269
ENSDARG00000001782	0.04205467742252471	1058	high zero count	0.09189611743246764
ENSDARG00000001785	0.7337752169122829	641	other	0.05567619213063493
ENSDARG00000001788	2.263125674784689	10	other	8.685833405715278e-4
ENSDARG00000001803	0.08838390183601663	3734	high zero count	0.3243290193694085
ENSDARG00000001804	0.22953626137383304	1155	high zero count	0.10032137583601146
ENSDARG00000001807	0.09112167379959506	230	other	0.01997741683314514
ENSDARG00000001818	-0.24259923964926347	1200	high zero count	0.10423000086858335
ENSDARG00000001825	-0.10434916443839362	2134	high zero count	0.18535568487796403
ENSDARG00000001829	0.374865684746533	26	other	0.0022583166854859725
ENSDARG00000001835	0.3491164154586323	690	other	0.05993225049943542
ENSDARG00000001857	0.07149991017341284	107	other	0.009293841744115348
ENSDARG00000001859	-0.08491158403148188	2107	high zero count	0.1830105098584209
ENSDARG00000001870	0.18317713353016038	281	other	0.024407191870059932
ENSDARG00000001873	0.9111447993289413	152	other	0.013202466776687223
ENSDARG00000001879	-0.044075790620061506	161	other	0.013984191783201599
ENSDARG00000001880	0.26156617121836706	1348	high zero count	0.11708503430904195
ENSDARG00000001888	0.4562874328191886	46	other	0.003995483366629028
ENSDARG00000001889	2.1215210891856593	223	other	0.019369408494745072
ENSDARG00000001890	0.45975233340167904	2	other	1.7371666811430558e-4
ENSDARG00000001897	0.6015675971616703	129	other	0.01120472509337271
ENSDARG00000001898	0.4498759997043898	751	other	0.06523060887692174
ENSDARG00000001906	-0.21556859094757483	816	other	0.07087640059063667
ENSDARG00000001910	0.554698989741785	832	other	0.07226613393555112
ENSDARG00000001912	-0.16194390480764279	352	other	0.03057413358811778
ENSDARG00000001913	-0.08239832882087197	261	other	0.022670025188916875
ENSDARG00000001929	0.35704779011424104	1056	high zero count	0.09172240076435334
ENSDARG00000001930	0.3212718213657839	164	other	0.014244766785373057
ENSDARG00000001937	0.20229856622019124	279	other	0.024233475201945628
ENSDARG00000001939	-0.003216579067765197	322	other	0.027968383566403198
ENSDARG00000001940	0.8522063699315992	16	other	0.0013897333449144446
