Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000097797	-1.6322542440670145	0.6561456300747442	-165.40558511357315	0	0	7485.583214642714
ENSDARG00000094730	-1.842024742608942	0.364799269435834	-165.35944340811554	0	0	7483.050092130331
ENSDARG00000060767	1.5564741850511161	1.5359734520951736	165.2243564003143	0	0	7475.6326169552385
ENSDARG00000117652	-1.3354077669600273	0.3852405947414157	-165.03683698359896	0	0	7465.332766047374
ENSDARG00000092558	-1.475396909615902	0.1350728915692157	-164.5652105613399	0	0	7439.410524431537
ENSDARG00000095157	-1.476749063986494	0.2621117064952046	-164.28872909819611	0	0	7424.202660583146
ENSDARG00000045797	-1.0740317699513817	0.17837122258703186	-163.9029747157618	0	0	7402.970113172444
ENSDARG00000098990	-1.3839562414621789	0.2083703866471711	-163.37333122393434	0	0	7373.79095526785
ENSDARG00000059498	-0.9736099110377612	0.1444232735950404	-162.52719408452657	0	0	7327.111675143321
ENSDARG00000029018	-1.2257091348677054	0.5563398989734671	-162.35104577720836	0	0	7317.384182624706
ENSDARG00000035285	1.917222103511603	1.818349696853732	162.31552254968292	0	0	7315.4220633225195
ENSDARG00000087693	-1.29597372366584	0.5245113650333898	-161.3654864733473	0	0	7262.896224875356
ENSDARG00000005172	-1.1880611405075607	0.42644317044261226	-160.8958676759485	0	0	7236.895841954095
ENSDARG00000020822	-0.7039474975599161	-0.028250020590078407	-160.8323246563051	0	0	7233.375971470356
ENSDARG00000117324	-0.9927080630230343	0.07297628344699125	-160.4716548463326	0	0	7213.389013813393
ENSDARG00000093760	-1.5860859090714612	0.33538360617494467	-157.06848656617487	0	0	7024.121390469805
ENSDARG00000100939	-1.7406430668558162	0.2903890568409234	-156.8516738117024	0	0	7012.022444357694
ENSDARG00000004697	-1.0927590899483346	0.1866128045887622	-156.60301370572444	0	0	6998.140360281676
ENSDARG00000036064	-1.1832525508979663	0.2592099337237049	-156.1359440000549	0	0	6972.047915181184
ENSDARG00000101963	-0.6255600268483528	-0.014637743084206935	-155.6860592930513	0	0	6946.894508947526
