Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MEXP-3904	Transcription profiling by array of human mesenchymal stromal cells from patients with type I diabetes before and after autologous hematopoietic stem cell transplantation	transcription profiling by array	Homo sapiens	12	2016-12-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3904/E-MEXP-3904.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3904/
E-MTAB-5152	Identification of urinary exosomal non-coding RNAs as novel biomarkers in chronic kidney disease	RNA-seq of non coding RNA	Homo sapiens	25	2016-11-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5152/
E-MTAB-4747	Bacterial cellulose carrier maintains native endothelial cell differentiation in vitro	RNA-seq of coding RNA	Homo sapiens	28	2016-11-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4747/
E-MTAB-4409	Transcription profiling by array of 16 W12 basal cervical squamous epithelial cell clones	transcription profiling by array	Homo sapiens	48	2016-11-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4409/E-MTAB-4409.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4409/
E-MTAB-4866	Splicing factor 1 modulates dietary restriction and TORC1 pathway longevity in C. elegans	RNA-seq of coding RNA	Caenorhabditis elegans, Homo sapiens	48	2016-11-29	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4866/
E-MTAB-4672	Transcription profiling by array of pancreatic cells following p53-targeted RNA interference	transcription profiling by array	Homo sapiens	8	2016-11-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4672/E-MTAB-4672.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4672/
E-MTAB-5108	Pediatric pineal germinomas: Epigenetic and genomic approach (transcription profiling)	transcription profiling by array	Homo sapiens	2	2016-11-26	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5108/E-MTAB-5108.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5108/
E-MTAB-5107	Pediatric pineal germinomas: Epigenetic and genomic approach (methylation profiling)	methylation profiling by array	Homo sapiens	2	2016-11-26	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5107/E-MTAB-5107.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5107/
E-MTAB-5106	Pediatric pineal germinomas: Epigenetic and genomic approach (comparative genomic hybridization)	comparative genomic hybridization by array	Homo sapiens	2	2016-11-26	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5106/E-MTAB-5106.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5106/
E-MTAB-5265	Coronary artery disease-associated genotype data in Mediterranean populations	genotyping by array	Homo sapiens	1696	2016-11-24	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5265/E-MTAB-5265.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5265/
E-MTAB-5027	4SU-iCLIP of PTBP1 from HEK293 cells	CLIP-seq	Homo sapiens	4	2016-11-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5027/
E-MTAB-5026	Modified iCLIP sequencing of HeLa cells with antibody PTBP1 - excluded dephosphorylation step	CLIP-seq	Homo sapiens	1	2016-11-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5026/
E-MTAB-4000	Modified iCLIP sequencing of HeLa cells with antibody eIF4A3 - additional 5' adapter ligation	CLIP-seq	Homo sapiens	2	2016-11-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4000/
E-MTAB-3618	eIFA3 - iCLIP	CLIP-seq	Homo sapiens	2	2016-11-24	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3618/
E-MTAB-4960	INTERLEUKIN 15-DEPENDENT T CELL-LIKE INNATE INTRAEPITHELIAL LYMPHOCYTES DEVELOP IN THE INTESTINE AND TRANSFORM INTO LYMPHOMAS IN CELIAC DISEASE	transcription profiling by array	Homo sapiens	9	2016-11-23	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4960/E-MTAB-4960.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4960/
E-MTAB-5270	Transcriptomes of triple negative breast cancer enriched breast cancer cohort	transcription profiling by array	Homo sapiens	177	2016-11-21	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5270/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5270/
E-MTAB-5262	Investigation of gene expression in biopsies from psoriasis patients before and after adalimumab treatment. Paired biopsies from non-lesional and lesional before treatment start and from psoriatic skin four and 14 days treatment start were included	transcription profiling by array	Homo sapiens	35	2016-11-21	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5262/E-MTAB-5262.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5262/E-MTAB-5262.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5262/
E-MTAB-4902	RNA-seq of whole blood samples from human visceral leishmaniasis compared to samples from healthy uninfected controls	RNA-seq of coding RNA	Homo sapiens	8	2016-11-16	Data is not available	Data is not available	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4902/
E-MTAB-4738	Genotyping by array of amniotic fluid sample from a fetus with developmental abnormalities to detect copy number variations	genotyping by array	Homo sapiens	2	2016-11-16	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4738/E-MTAB-4738.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4738/
E-MTAB-4266	microRNA profiling by array of PDGF-alpha overexpression in HUVECs and a human melanoma cell line	microRNA profiling by array	Homo sapiens	12	2016-11-14	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4266/E-MTAB-4266.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4266/
E-MTAB-4261	Transcription profiling by array of PDGF-alpha overexpression in HUVECs and a human melanoma cell line	transcription profiling by array	Homo sapiens	12	2016-11-14	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4261/E-MTAB-4261.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4261/
E-MTAB-3895	Profiling of circulating microRNAs in blood of patents with liver cirrhosis or hepatocellular carcinoma	transcription profiling by array	Homo sapiens	23	2016-11-14	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3895/E-MTAB-3895.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3895/
E-MTAB-5195	Blood mRNA profiling to support prognosis of disease severity in respiratory syncytial virus infected infants	transcription profiling by array	Homo sapiens	64	2016-11-11	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5195/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5195/
E-MTAB-5113	Genome-wide profiling of Glucocorticoid receptor binding in A549, Nalm-6, MEF WT and MEF GCN5/PCAF double knockout (ChIP-seq)	ChIP-seq	Homo sapiens, Mus musculus	8	2016-11-10	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5113/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5113/
E-MTAB-3078	Transcription profiling by array of CD4+ tumor infiltrating CD146+ and CD146- T-lymphocytes from three renal carcinoma patients	transcription profiling by array	Homo sapiens	6	2016-11-10	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3078/E-MTAB-3078.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3078/
E-MTAB-4771	Transcription profiling by array of human primary astrocytes, cancer stem cells derived from astrocytes overexpressing various oncogenic and iPSC-inducing factors, glioma stem cells and gliblastomat cell line to compare their expression profiles and tumor-initiating capabilities	transcription profiling by array	Homo sapiens	15	2016-11-07	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4771/E-MTAB-4771.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4771/
E-MTAB-3818	iCLIP transcriptome-wide mapping of UNR (CSDE1) binding sites	CLIP-seq	Homo sapiens	4	2016-11-07	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3818/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3818/
E-MTAB-3815	Ribosome profiling of UNR (CSDE1) shRNA knockdown in SK-MEL-103 melanocytes	translation profiling	Homo sapiens	6	2016-11-07	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3815/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3815/
E-MTAB-4166	Urinary exosomal miRNA signatures in type II diabetic nephropathy patients	microRNA profiling by array	Homo sapiens	24	2016-11-03	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4166/E-MTAB-4166.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4166/
E-MTAB-1586	Genotyping by array of human primary acute myeloid leukemia cells on the Affymetrix 6.0 SNP array to evaluate prognostic relevance	genotyping by array	Homo sapiens	227	2016-11-02	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1586/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1586/
E-MTAB-4804	Copy-number variation (CNV) study of glioblastoma parental tumors and paired patient derived cell lines (PDCLs) to study the extent PDCLs recapitulates the genome landscape of parental tumor	comparative genomic hybridization by array	Homo sapiens	20	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4804/E-MTAB-4804.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4804/
E-MTAB-4803	Transcription profiling by array of nine pairs of Glioblastoma tumors and paired patient derived cell lines (PDCLs) to study the extent to which PDCLs recapitulates the genome landscape of parental tumors	transcription profiling by array	Homo sapiens	18	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4803/E-MTAB-4803.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4803/
E-MTAB-4098	Transcription profiling of patient-derived acute myeloid leukemia cells to study the association of UNCX expression with proliferation and differentiation of myeloid cells	transcription profiling by array	Homo sapiens	6	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4098/E-MTAB-4098.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4098/
E-MTAB-3865	MicroRNA expression profiling of normal and glioblastoma-derived neural stem cells	microRNA profiling by array	Homo sapiens	38	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3865/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3865/
E-MTAB-3552	Treatment of non-CML CD34+ cells with EZH2 inhibitor GSK343	transcription profiling by array	Homo sapiens	6	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3552/E-MTAB-3552.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3552/
E-MTAB-3427	miRNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs	RNA-seq of non coding RNA	Homo sapiens	30	2016-11-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3427/
E-MTAB-2893	Treatment of CML CD34+ cells with EZH2 inhibitor GSK343	transcription profiling by array	Homo sapiens	6	2016-11-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2893/E-MTAB-2893.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2893/
E-MTAB-4638	The nuclear receptor ERbeta engages AGO2 in regulation of gene transcription, RNA splicing and RISC loading. Part 1	RIP-seq	Homo sapiens	12	2016-10-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4638/
E-MTAB-3805	Transcriptional profiling by polyA+ or total RNA sequencing of UNR (CSDE1) knockdown in SK-MEL-103 melanocytes	RNA-seq of coding RNA	Homo sapiens	8	2016-10-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3805/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3805/
E-MTAB-4935	Leveraging cell type-specific regulatory regions to detect SNPs associated with tissue factor pathway inhibitor plasma levels	ChIP-seq	Homo sapiens	4	2016-10-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4935/
E-MTAB-5150	3prime RNA-seq of human prostate cancer cell line DU-145 treated with Senexin A	RNA-seq of coding RNA	Homo sapiens	6	2016-10-28	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5150/
E-MTAB-4257	Blood transcriptomic diagnosis of active tuberculosis and discrimination from other febrile illnesses	transcription profiling by array	Homo sapiens	114	2016-10-28	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4257/E-MTAB-4257.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4257/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4257/
E-MTAB-3678	Detection of potential neuroprotective changes at the molecular, anatomical and physiological level in identified human pyramidal cells in response to brain edema and increased intracranial pressure	transcription profiling by array	Homo sapiens	27	2016-10-27	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3678/E-MTAB-3678.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3678/
E-MTAB-4854	Global miRNA expression profile of head and neck squamous cell carcinoma patients with resistant and sensitive tumors	microRNA profiling by array	Homo sapiens	15	2016-10-25	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4854/E-MTAB-4854.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4854/
E-MTAB-4264	Tuning the transcriptional response to hypoxia through HIF prolyl- and asparaginyl-hydroxylase inhibition:Sequencing Data	RNA-seq of coding RNA	Homo sapiens	12	2016-10-25	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4264/
E-MTAB-4100	ChIP-seq analysis of human neuroblastoma cell lines	ChIP-seq	Homo sapiens	17	2016-10-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4100/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4100/
E-MTAB-5191	RNA-seq analysis of cell-line models for monocyte to macrophage transformation: Project 2 of Open Targets - Epigenomes of Cell Lines	RNA-seq of coding RNA	Homo sapiens	24	2016-10-22	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5191/
E-MTAB-4736	Transcription profiling by array of trichostatin-A treated gastric cancer cell lines	transcription profiling by array	Homo sapiens	12	2016-10-21	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4736/E-MTAB-4736.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4736/
E-MTAB-3849	RNA-Seq of human embryonic stem cells over expressing NANOS3 and DAZL	RNA-seq of coding RNA	Homo sapiens	9	2016-10-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3849/E-MTAB-3849.processed.1.zip	Data is not available	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3849/
E-MTAB-5075	Transcription profiling of immature and LPS-matured dendritic cells, sorted for DC-S and DC-L phenotypes	transcription profiling by array	Homo sapiens	4	2016-10-17	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5075/E-MTAB-5075.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5075/
E-MTAB-4843	Genotyping by array: Human Developmental Biology Resource (HDBR) expression resource of prenatal human brain development-SNP data	genotyping by array	Homo sapiens	425	2016-10-12	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4843/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4843/
E-MTAB-4840	RNA-seq of coding RNA: Human Developmental Biology Resource (HDBR) expression resource of prenatal human brain development	RNA-seq of coding RNA	Homo sapiens	650	2016-10-12	Data is not available	Data is not available	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4840/
E-MTAB-4006	Transcription profiling by array of human acute lymphoblastic leukemia and normal haemopoietic samples using Agilent Whole Human Genome Oligo Microarrays	transcription profiling by array	Homo sapiens	60	2016-10-12	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4006/raw/	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4006/
E-MTAB-4950	Copy number variation analysis of Kasumi-1 acute myeloid leukemia cells, U2OS osteosarcoma cells and acute myeloid leukemia cells isolated from a patient	genotyping by array	Homo sapiens	3	2016-10-10	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4950/E-MTAB-4950.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4950/
E-MEXP-3991	Transcription profiling by array of human endothelial cells from colorectal carcinoma biopsies with high and low GBP-1 expression	transcription profiling by array	Homo sapiens	16	2016-10-10	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3991/E-MEXP-3991.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3991/
E-MTAB-4560	Osteoblasts secrete miRNA-containing extracellular vesicles that enhance expansion of human umbilical cord blood cells	microRNA profiling by high-throughput sequencing	Homo sapiens	2	2016-10-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4560/E-MTAB-4560.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4560/
E-MTAB-4164	Transcription profiling by array of rotenone treated olfactory cells derived from patients with Parkinson?s disease and healthy controls	transcription profiling by array	Homo sapiens	32	2016-10-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4164/E-MTAB-4164.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4164/E-MTAB-4164.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4164/
E-MTAB-4883	Transcription profiling by array of vitamin D modulation of innate immune signalling in Dendritic Cells	transcription profiling by array	Homo sapiens	9	2016-10-03	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4883/E-MTAB-4883.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4883/E-MTAB-4883.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4883/
E-MTAB-4590	Genotyping by array of an esophageal adenocarcinoma cell line, tumour tissue, normal tissue and blood derived from the same patient	genotyping by array	Homo sapiens	5	2016-10-03	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4590/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4590/E-MTAB-4590.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4590/
E-MTAB-4536	Transcription profiling of KHYG1 leukemia cells to investigate the mechanism of apoptosis induced by the Fyn inhibitor pyrazolo[3,4-d]pyrimidine	transcription profiling by array	Homo sapiens	6	2016-10-03	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4536/E-MTAB-4536.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4536/E-MTAB-4536.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4536/
E-MTAB-4490	micro RNA profiling by array of KIT/PDGFRA mutant and wild type gastrointestinal stromal tumors	microRNA profiling by array	Homo sapiens	13	2016-10-03	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4490/E-MTAB-4490.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4490/
E-MTAB-5104	Gene expression and alternative splicing analysis of breast carcinoma cells	RNA-seq of coding RNA	Homo sapiens	1	2016-10-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5104/E-MTAB-5104.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5104/
E-MTAB-4993	Whole transcriptome profiling of 63 breast cancer tumours	RNA-seq of coding RNA	Homo sapiens	63	2016-10-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4993/
E-MTAB-4983	All trans-retinoic acid (ATRA) effect on triple negative (TNBC), HER2 positive, and luminal primary breast tumors	transcription profiling by array	Homo sapiens	8	2016-10-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4983/E-MTAB-4983.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4983/
E-MTAB-3586	Gene expression changes upon Rbl2 knockdown during neuroectoderm specification	transcription profiling by array	Homo sapiens	6	2016-10-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3586/E-MTAB-3586.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3586/E-MTAB-3586.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3586/
E-MTAB-5055	microRNA profiling of primary human keratinocytes and primary human dermal fibroblasts	microRNA profiling by array	Homo sapiens	6	2016-09-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5055/E-MTAB-5055.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5055/E-MTAB-5055.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5055/
E-MTAB-4956	human SU-DHL-5 and TMD-8 B-lymphome cell line subclones	DNA-seq	Homo sapiens	5	2016-09-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4956/
E-MTAB-4955	human HG-3 B-lymphome cell line subclones	transcription profiling by array	Homo sapiens	7	2016-09-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4955/E-MTAB-4955.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4955/
E-MTAB-4897	Transcriptome analysis of HUVEC	RNA-seq of coding RNA	Homo sapiens	4	2016-09-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4897/E-MTAB-4897.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4897/
E-MTAB-4671	Jinfukang enhances the pro-apoptotic activity of cisplatin via activation of AIFM2 in human lung cancer cells	RNA-seq of coding RNA	Homo sapiens	8	2016-09-30	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4671/
E-MTAB-4452	Transcription profiling of effected genes by PAD2 and compound 1B8 in colon cancer SW480 cells	transcription profiling by array	Homo sapiens	12	2016-09-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4452/E-MTAB-4452.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4452/
E-MTAB-4403	Transcription profiling by array of natural killer cells from chronic lymphocytic lymphoma patients and healthy controls	transcription profiling by array	Homo sapiens	15	2016-09-30	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4403/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4403/
E-MTAB-1791	Transcription profiling by array of 457 human tissue samples from patients with various pancreatic neoplasms	transcription profiling by array	Homo sapiens	457	2016-09-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1791/processed/	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1791/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1791/
E-MTAB-5068	Expression profiling HeLa DOCK6 knockout clones 1 and 45 compared to wild type cells	transcription profiling by array	Homo sapiens	9	2016-09-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5068/E-MTAB-5068.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5068/
E-MTAB-5067	Gene expression profiling of AOS Patient fibroblasts against Control fibroblasts	transcription profiling by array	Homo sapiens	9	2016-09-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5067/E-MTAB-5067.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5067/
E-MTAB-4770	DNA methylation profiling of people of Indo-European and Dravidian ethnicity living in India	methylation profiling by array	Homo sapiens	40	2016-09-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4770/E-MTAB-4770.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4770/
E-MTAB-4760	Clinical and molecular characterization of a de novo 19p13.3 microdeletion	genotyping by array	Homo sapiens	3	2016-09-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4760/E-MTAB-4760.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4760/
E-MTAB-4764	The transcriptional signature of human ovarian carcinoma macrophages is associated with extracellular matrix reorganization	RNA-seq of coding RNA	Homo sapiens	5	2016-09-27	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4764/
E-MTAB-3925	Transcription profiling of human endothelial cells treated with Low Molecular Weight Fucoidan (LMWF)	transcription profiling by array	Homo Sapiens	36	2016-09-25	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3925/E-MTAB-3925.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3925/
E-MTAB-5061	Single-cell RNA-seq analysis of human pancreas from healthy individuals and type 2 diabetes patients	RNA-seq of coding RNA from single cells	Homo sapiens	3514	2016-09-22	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5061/E-MTAB-5061.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5061/
E-MTAB-5060	Whole-islet RNA-sequencing analysis of human pancreas from healthy individuals and type 2 diabetes patients	RNA-seq of coding RNA	Homo sapiens	7	2016-09-22	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5060/E-MTAB-5060.processed.1.zip	Data is not available	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5060/
E-MTAB-4194	Comparative genomic hybridization by array of two epithelial cell lines (16HBE14o- and T84) and control DNA from European Hapmap cell lines	comparative genomic hybridization by array	Homo sapiens	2	2016-09-22	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4194/E-MTAB-4194.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4194/
E-MTAB-5119	Genotyping of SNP array in individuals with San ancestry in southeastern Africa	genotyping by array	Homo sapiens	16	2016-09-21	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5119/E-MTAB-5119.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5119/
E-MTAB-5109	Methylome profiling of glioblastoma biopsies obtained by neuro-navigation in four distinct areas for 10 patients (necrotic zone, tumor zone, interface, and peripheral brain zone)	methylation profiling by array	Homo sapiens	23	2016-09-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5109/E-MTAB-5109.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5109/E-MTAB-5109.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5109/
