Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-5875	Eight in situ Hi-C experiments of mouse OG2 stem cells for 7 different starting material and that were digested by either HindIII (2 samples) or MboI (6 samples) restriction enzymes. Plus two peripheral blood mononuclear cells (PBMCs) samples obtained either from a blood extraction of a healthy donor or from a lymph node biopsy from a DLBCL patient	Hi-C	Homo sapiens, Mus musculus	16	2018-10-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5875/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5875/
E-MTAB-7304	Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - whole genome sequencing	genotyping by high throughput sequencing	Homo sapiens	54	2018-10-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7304/
E-MTAB-7303	Exploiting cellular heterogeneity through single cell sequencing reveals HDAC4 as a regulator of cellular phenotypes in Parkinson?s dopamine neurons	RNA-seq of coding RNA from single cells	Homo sapiens	568	2018-10-17	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7303/
E-MTAB-6678	Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - Smartseq 2 data	RNA-seq of coding RNA	Homo sapiens	7597	2018-10-17	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6678/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6678/
E-MTAB-6570	ChIP-seq of neuroblastoma IMR-32, CLB-GA, NGP, IMR-5/75, GI-M-EN, CHP-212, and IMR-5 cell lines to identify TBX2, MYCN, H3K27ac, H3K4me1 and H3K4me3 binding sites	ChIP-seq	Homo sapiens	66	2018-10-16	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6570/E-MTAB-6570.processed.1.zip	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6570/
E-MTAB-7269	PRPF8 iCLIP on HeLa cells in response to eIF4A3 Knockdown	CLIP-seq	Homo sapiens	8	2018-10-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7269/
E-MTAB-6529	RNA-seq analysis of HeLa cells treated with GapmeR antisense oligonucleotides	RNA-seq of coding RNA	Homo sapiens	2	2018-10-12	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6529/
E-MTAB-6714	A simple and robust plate-based single-cell ATAC-seq on various tissues and cell lines	ATAC-seq	Homo sapiens, Mus musculus, mixed sample	7104	2018-10-10	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6714/
E-MTAB-6050	Time course ChIP-seq analysis of the human GM12878 lymphoblasts upon Sendai Virus infection	ChIP-seq	Homo sapiens	10	2018-10-07	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6050/
E-MTAB-6047	Time course GRO-seq analysis of the human GM12878 lymphoblasts upon Sendai Virus infection	GRO-seq	Homo sapiens	12	2018-10-07	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6047/
E-MTAB-7224	Pro-osteogenic trophic effects by PKA activation in human mesenchymal stromal cells	transcription profiling by array	Homo sapiens	12	2018-10-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7224/E-MTAB-7224.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7224/E-MTAB-7224.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7224/
E-MTAB-7222	A calcium-induced signaling cascade leading to osteogenic differentiation of human bone marrow-derived mesenchymal stromal cells	transcription profiling by array	Homo sapiens	6	2018-10-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7222/E-MTAB-7222.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7222/E-MTAB-7222.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7222/
E-MTAB-6268	Single cell sequencing of 43,168 cells during the differentiation from human induced pluripotent stem cells to cardiomyocytes	RNA-seq of coding RNA from single cells	Homo sapiens	10	2018-10-06	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6268/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6268/
E-MTAB-7219	Transcription profiling by array of MG-63 cells grown on different biomaterials used in bone grafts	transcription profiling by array	Homo sapiens	69	2018-10-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7219/E-MTAB-7219.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7219/E-MTAB-7219.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7219/
E-MTAB-7210	Predicting the therapeutic efficacy of MSC in bone tissue engineering using the molecular marker CADM1	transcription profiling by array	Homo sapiens	72	2018-10-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7210/E-MTAB-7210.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7210/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7210/
E-MTAB-7209	A small molecule approach to engineering vascularized tissue	transcription profiling by array	Homo sapiens	23	2018-10-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7209/E-MTAB-7209.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7209/E-MTAB-7209.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7209/
